position,thumbnail,source,title,link,original,is_product,filename,time
1,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac0649f37b49c71b61633dfbd9761ba82353eb65900c990b3b06.jpeg,commons.wikimedia.org,"File:Alpen Edelweiß, Leontopodium alpinum 2.JPG - Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Alpen_Edelwei%C3%9F,_Leontopodium_alpinum_2.JPG",https://upload.wikimedia.org/wikipedia/commons/3/38/Alpen_Edelwei%C3%9F%2C_Leontopodium_alpinum_2.JPG,True,egncnnqvnqlq,"26/10/2021, 15:22:53"
2,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac068b6f731bf8d12e7bf29fe2cf5009e7745ac4bfadc23a5f45.jpeg,commons.wikimedia.org,File:Leontopodium nivale subsp alpinum RF.jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Leontopodium_nivale_subsp_alpinum_RF.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Leontopodium_nivale_subsp_alpinum_RF.jpg,True,yofmuwegmklv,"26/10/2021, 15:22:53"
3,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac062c90ad7d54d6207282c178e9c219d2226524b1a0f5d99021.jpeg,commons.wikimedia.org,File:Leontopodium nivale subsp alpinum.jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Leontopodium_nivale_subsp_alpinum.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Leontopodium_nivale_subsp_alpinum.jpg,True,ifhzkfupqpda,"26/10/2021, 15:22:54"
4,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac06ae89c16e647e23a92b076f355d372982e0ba965d8bbed44d.jpeg,flickr.com,Leontopodium nivale subsp. alpinum | edelweiss Alpen-Edelwei… | Flickr,https://www.flickr.com/photos/59161444@N05/28558875687,https://live.staticflickr.com/1829/28558875687_4781035683_b.jpg,True,rccxlhqezztd,"26/10/2021, 15:22:54"
5,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac06c3f5ac5345f73f3c0f5f6029fd7a97bf5ffa4cd23edf18ec.jpeg,commons.wikimedia.org,File:Edelweiß - Leontopodium nivale (15089864460).jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Edelwei%C3%9F_-_Leontopodium_nivale_%2815089864460%29.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Edelwei%C3%9F_-_Leontopodium_nivale_%2815089864460%29.jpg,True,fhlnvatjjyoe,"26/10/2021, 15:22:54"
6,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac069cada1bfb93909621a7ab68ce15cebc7b57d4fdc13ffa40b.jpeg,flickr.com,Leontopodium nivale subsp. alpinum | edelweiss Alpen-Edelwei… | Flickr,https://www.flickr.com/photos/59161444@N05/35723681180/,https://live.staticflickr.com/4327/35723681180_e4bdf5e1ab_b.jpg,True,mtzlgvnhstdu,"26/10/2021, 15:22:55"
7,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac0610935d2488b56bd5577ac8aca4c9fa4aed5be32271eceb86.jpeg,commons.wikimedia.org,File:Leontopodium nivale (alpinum) (35724066520).jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Leontopodium_nivale_%28alpinum%29_%2835724066520%29.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Leontopodium_nivale_%28alpinum%29_%2835724066520%29.jpg,True,jycjaamdavtb,"26/10/2021, 15:22:55"
8,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac063509503bab4ca5bab28465e4d3a5ce807c7b9d701ed0ab69.jpeg,commons.wikimedia.org,File:Edelweiß - Leontopodium nivale (15273448931) (cropped).jpg - Wikimedia  Commons,https://commons.wikimedia.org/wiki/File:Edelwei%C3%9F_-_Leontopodium_nivale_%2815273448931%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e2/Edelwei%C3%9F_-_Leontopodium_nivale_%2815273448931%29_%28cropped%29.jpg,True,fedftcfoyrbs,"26/10/2021, 15:22:56"
9,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac06e1106d9776049dad9e813bcbc812d2e1867ba730446475b3.jpeg,commons.wikimedia.org,File:Edelweiss - Leontopodium nivale (21082376306).jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Edelweiss_-_Leontopodium_nivale_%2821082376306%29.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Edelweiss_-_Leontopodium_nivale_%2821082376306%29.jpg,True,bnoeebbgckvv,"26/10/2021, 15:22:56"
10,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac0622c256caa2cc1e663fb70069107cb94dbf3df953dfa8bac6.jpeg,flickr.com,Snow edelweiss. Smaller spoon-shaped leaves. Leontopodium … | Flickr,https://www.flickr.com/photos/marygillhamarchiveproject/37701573846,https://live.staticflickr.com/4505/37701573846_8b20a4520d_b.jpg,True,yuzvgvuzjtba,"26/10/2021, 15:22:57"
11,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac068b6f731bf8d12e7b2421d40c8eb135a4132a9245871036e5.jpeg,pxfuel.com,Royalty-free alps-edelweiss photos free download | Pxfuel,https://www.pxfuel.com/en/search?q=alps-edelweiss,https://p1.pxfuel.com/preview/804/70/515/edelweiss-edelweiss-of-the-alps-alpine-flower-close.jpg,True,rfqowythxzot,"26/10/2021, 15:22:57"
12,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac068b6f731bf8d12e7b8cb0d45844d17214389f7486e7a2b8a9.jpeg,commons.wikimedia.org,File:Edelweiss - Leontopodium nivale (20946254738).jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Edelweiss_-_Leontopodium_nivale_%2820946254738%29.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Edelweiss_-_Leontopodium_nivale_%2820946254738%29.jpg,True,gfdmsiupeqmq,"26/10/2021, 15:22:57"
13,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac068b6f731bf8d12e7b56c3d4ab1dde9815f344eaff27b2e795.jpeg,flickr.com,Alpen-Edelweiß (Leontopodium nivale) | Juli 2009 Creative Co… | Flickr,https://www.flickr.com/photos/blumenbiene/7179618691/,https://live.staticflickr.com/7073/7179618691_cbdf77c15c_b.jpg,True,meqracqdiyrf,"26/10/2021, 15:22:58"
14,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac068b6f731bf8d12e7ba17b1ecc5312de3479b08ae186080ca1.jpeg,pixabay.com,Edelweiss Leontopodium Nivale - Kostenloses Foto auf Pixabay,https://pixabay.com/de/photos/edelweiss-leontopodium-nivale-allg%C3%A4u-818414/,https://cdn.pixabay.com/photo/2015/06/23/08/03/edelweiss-818414_1280.jpg,True,umjbpnmbxupy,"26/10/2021, 15:22:58"
15,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac068b6f731bf8d12e7b8a5ef882c94d16764a06ca79c0d080eb.jpeg,commons.m.wikimedia.org,File:Leontopodium nivale.jpg - Wikimedia Commons,https://commons.m.wikimedia.org/wiki/File:Leontopodium_nivale.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Leontopodium_nivale.jpg,True,oifqjhvdfpqv,"26/10/2021, 15:22:58"
16,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac068b6f731bf8d12e7b198eaf170475f061c9400c94a0c0c0cb.jpeg,commons.wikimedia.org,File:Leontopodium nivale subsp. alpinum (50130293036).jpg - Wikimedia  Commons,https://commons.wikimedia.org/wiki/File:Leontopodium_nivale_subsp._alpinum_%2850130293036%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/Leontopodium_nivale_subsp._alpinum_%2850130293036%29.jpg,True,lkhedjdugiar,"26/10/2021, 15:22:58"
17,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac068b6f731bf8d12e7b3440e7d039f70fdb7699d0904caaa261.jpeg,flickr.com,Hiking in the Central Pyrenees | Edelweiss (Leontopodium niv… | Flickr,https://www.flickr.com/photos/kittysfotos/36291208704,https://live.staticflickr.com/4393/36291208704_17c059491f_b.jpg,True,wqsmqmtzddct,"26/10/2021, 15:22:59"
18,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac068b6f731bf8d12e7bb49dc0a9f131cefbed7640a836c0d11c.jpeg,pixabay.com,Edelweiss Leontopodium Planta Flor - Foto gratis en Pixabay,https://pixabay.com/es/photos/edelweiss-leontopodium-planta-4319086/,https://cdn.pixabay.com/photo/2019/07/05/18/09/edelweiss-4319086_1280.jpg,True,pflrvofqjbcj,"26/10/2021, 15:23:00"
19,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac068b6f731bf8d12e7b6e6b37b71002c3d7b34605709f6fab95.jpeg,commons.wikimedia.org,File:Edelweiss - Leontopodium nivale (20485953374).jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Edelweiss_-_Leontopodium_nivale_%2820485953374%29.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fb/Edelweiss_-_Leontopodium_nivale_%2820485953374%29.jpg,True,oglqbsmjqayd,"26/10/2021, 15:23:00"
20,https://serpapi.com/searches/617801337f8361d3c6f762af/images/2b6f9cd283f9ac068b6f731bf8d12e7b5e565d3e46665fa48c6e57dd9dbe278a.jpeg,commons.m.wikimedia.org,File:Leontopodium nivale - Edelweiss-5517 - Flickr - Ragnhild & Neil  Crawford.jpg - Wikimedia Commons,https://commons.m.wikimedia.org/wiki/File:Leontopodium_nivale_-_Edelweiss-5517_-_Flickr_-_Ragnhild_%26_Neil_Crawford.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Leontopodium_nivale_-_Edelweiss-5517_-_Flickr_-_Ragnhild_%26_Neil_Crawford.jpg,True,fwqmzdizssgm,"26/10/2021, 15:23:00"
21,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv7kZyJ3I1hDDXN40pVm61cCDD3BkFnjkG_Q&usqp=CAU,hippopx.com,"Foto livre: Edelweiss, flor alpina, fechar, edelweiß alpino | Hippopx",https://www.hippopx.com/pt/edelweiss-alpine-flower-close-alpine-edelwei%C3%9F-476102,https://i0.hippopx.com/photos/579/970/332/edelweiss-protected-white-rarely-preview.jpg,True,nkkpwvstltak,"26/10/2021, 15:23:00"
22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf2DjZY2lZOZiKVZuYUFbIu_nRBmAix_D5eQ&usqp=CAU,flickr.com,Flor de neu - Edelweiss | Leontopodium nivale #apfb_flores | Flickr,https://www.flickr.com/photos/ylesram/49955829468,https://live.staticflickr.com/65535/49955829468_bb80b6aa18_b.jpg,True,xfjglhfbvdgd,"26/10/2021, 15:23:01"
23,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVnYsLYpMS77sap1HIb3mL7jYKr9qJ_ubrCw&usqp=CAU,pxhere.com,"Fotos gratis : Edelweiss, planta floreciendo, Familia de la margarita, Flor  de franela, Familia del perejil, Planta terrestre, flor silvestre, pétalo,  planta herbácea 1991x1991 - miroe25 - 1602868 - Imagenes gratis - PxHere",https://pxhere.com/es/photo/1602868,https://get.pxhere.com/photo/flower-edelweiss-plant-flowering-plant-daisy-family-flannel-flower-parsley-family-terrestrial-plant-wildflower-petal-herbaceous-plant-1602868.jpg,True,amvphzmgqekh,"26/10/2021, 15:23:01"
24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIOiTvVhjhXsTcf3_019KQ90LSb_axu8Ab1A&usqp=CAU,pixabay.com,Alpen-Edelweiss สามัญ เอเดลไวส์ - ภาพฟรีบน Pixabay,https://pixabay.com/th/photos/alpen-edelweiss-%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%B1%E0%B8%8D-edelweiss-181718/,https://cdn.pixabay.com/photo/2013/09/12/16/28/alpine-edelwei-181718_1280.jpg,True,tlhmssmabdwh,"26/10/2021, 15:23:04"
25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLsiRcqrzu4CLTHHP5-At3HK5-SKX9hNmkow&usqp=CAU,commons.wikimedia.org,"File:Alpen Edelweiß, Leontopodium alpinum 1.JPG - Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Alpen_Edelwei%C3%9F,_Leontopodium_alpinum_1.JPG",https://upload.wikimedia.org/wikipedia/commons/4/44/Alpen_Edelwei%C3%9F%2C_Leontopodium_alpinum_1.JPG,True,mkdoiiufhzob,"26/10/2021, 15:23:04"
26,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7sFmo3kOokqalXcZ8MjrETSKLFziQ8iLkeA&usqp=CAU,hippopx.com,"Foto livre: estrela dos Alpes, flores de montanha, flor da montanha,  montanha de verão, flora de montanha, natureza da montanha, Edelweiss |  Hippopx",https://www.hippopx.com/pt/alpine-star-mountain-flowers-mountain-flower-summer-mountain-mountain-flora-mountain-nature-edelweiss-119445,https://i0.hippopx.com/photos/114/943/803/alpine-star-mountain-flowers-mountain-flower-summer-mountain-preview.jpg,True,keepbbchnzhi,"26/10/2021, 15:23:05"
27,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQf4QRzBNfSF0FKWqQWn6n2wA8hnATgGnpjFA&usqp=CAU,pxfuel.com,Fotos flores de edelweiss libres de regalías | Pxfuel,https://www.pxfuel.com/es/search?q=flores+de+edelweiss,https://p0.pxfuel.com/preview/308/205/308/flowers-alpine-flowers-edelweiss.jpg,True,uphddugkdzcd,"26/10/2021, 15:23:05"
28,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSbdI4id9xIZutlVo5RIn0tftJZZGDuIqDFA&usqp=CAU,pxhere.com,"Fotos gratis : blanco, mullido, Italia, botánica, flora, flor silvestre,  montañas, arbusto, Asteraceae, protegido, ordinario, Composites, raramente,  Edelweiss, planta floreciendo, Familia de la margarita, Flor alpina,  Leontopodium microdochium ...",https://pxhere.com/es/photo/1015553,https://get.pxhere.com/photo/plant-white-flower-fluffy-italy-alpine-botany-flora-wildflower-mountains-shrub-asteraceae-protected-ordinary-composites-rarely-edelweiss-flowering-plant-daisy-family-alpine-flower-leontopodium-microdochium-subshrub-alpine-edelwei-land-plant-1015553.jpg,True,xnioecjnskqz,"26/10/2021, 15:23:05"
29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxRYlM_INfTJC2iIPO_GHX3CiqTsEm6pk31g&usqp=CAU,commons.wikimedia.org,File:Leontopodium nivale 2.jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Leontopodium_nivale_2.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cf/Leontopodium_nivale_2.jpg,True,ibxjlkmshwpy,"26/10/2021, 15:23:13"
30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTL6jMRzJJcsUewrHu1_sIzIGEVNl59xaJ6A&usqp=CAU,publicdomainpictures.net,Edelweiss Stock de Foto gratis - Public Domain Pictures,https://www.publicdomainpictures.net/es/view-image.php?image=173819&picture=edelweiss,https://www.publicdomainpictures.net/pictures/180000/nahled/-1465475736KI6.jpg,True,dpyupcfxcpvu,"26/10/2021, 15:23:14"
31,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSobQcEOu-IgwkTIVA_jjkCoWnfCwvjow4hLQ&usqp=CAU,pixabay.com,Alpen-Edelweiß Gewöhnliches - Kostenloses Foto auf Pixabay,https://pixabay.com/de/photos/alpen-edelwei%C3%9F-gew%C3%B6hnliches-edelwei%C3%9F-181714/,https://cdn.pixabay.com/photo/2013/09/12/16/23/alpine-edelwei-181714_1280.jpg,True,izwloxubsten,"26/10/2021, 15:23:14"
32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQv7gufOU19D3OShIpNJhBCFlMgC-ISm1mwSA&usqp=CAU,piqsels.com,libre de regalías edelweiß alpino fotos descarga gratuita | Piqsels,https://www.piqsels.com/es/search?q=edelwei%C3%9F+alpino,https://p1.piqsels.com/preview/191/682/350/edelweiss-alpine-alpine-flower-nature-white-plant-thumbnail.jpg,True,pdnpdpcftvrm,"26/10/2021, 15:23:14"
33,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWMe97y9qPOECLR7N_jPM6A30xPu7SHcbaZg&usqp=CAU,pxfuel.com,Fotos edelweiß alpino libres de regalías | Pxfuel,https://www.pxfuel.com/es/search?q=edelwei%C3%9F+alpino,https://p1.pxfuel.com/preview/772/371/591/edelweiss-flower-alpine-switzerland.jpg,True,zoslbnmimaee,"26/10/2021, 15:23:14"
34,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdLxTrt6DZk9lE7LY-1r5XqmH4B6C68z8OSw&usqp=CAU,pixnio.com,"Imagen gratis: Flor, blanco, planta, floración, conífera, pétalo, jardín,  flora, primavera",https://pixnio.com/es/plantas/arboles/abeto-conifera/flor-blanco-planta-floracion-conifera-petalo-jardin-flora-primavera,https://pixnio.com/free-images/2017/06/23/2017-06-23-06-57-34.jpg,True,qrptlhsjuhmg,"26/10/2021, 15:23:14"
35,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXE0dGbgd2BNtm0h63u_PuLTGFck8uLFbDPg&usqp=CAU,pxhere.com,"Fotos gratis : naturaleza, blanco, hoja, escarcha, mullido, Italia,  botánica, flora, fauna, flor silvestre, de cerca, montañas, Asteraceae,  protegido, ordinario, Composites, Fotografía macro, raramente, Edelweiss,  planta floreciendo, Familia de la ...",https://pxhere.com/es/photo/1015564,https://get.pxhere.com/photo/nature-blossom-plant-white-leaf-flower-frost-fluffy-italy-alpine-botany-flora-fauna-wildflower-close-up-mountains-asteraceae-protected-ordinary-composites-macro-photography-rarely-edelweiss-flowering-plant-daisy-family-alpine-flower-leontopodium-microdochium-alpine-edelwei-plant-stem-land-plant-1015564.jpg,True,fqvyguvkmxme,"26/10/2021, 15:23:16"
36,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTna8BazpByygAyn_k4yy6mdIa6ddt4eniP_A&usqp=CAU,commons.wikimedia.org,File:Leontopodium nivale (alpinum) (36732952751).jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Leontopodium_nivale_%28alpinum%29_%2836732952751%29.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/Leontopodium_nivale_%28alpinum%29_%2836732952751%29.jpg,True,sssrxdtmpenk,"26/10/2021, 15:23:35"
37,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMOi-6QXR036B1CY7pcCMPSQABM5j7i4RPVA&usqp=CAU,flickr.com,Edelweiss. Эдельвейс. Flora of Altai Mountains | It was not … | Flickr,https://www.flickr.com/photos/tgerus/38329354452,https://live.staticflickr.com/4556/38329354452_32b0e926d2_b.jpg,True,hqlucjwtnhkh,"26/10/2021, 15:23:35"
38,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjDq716X3p0KLjRWql4sPd7CC5Qy8Xte_qJg&usqp=CAU,pixnio.com,"Imagen gratis: naturaleza, flor, flora, hoja, flores silvestres, plantas,  hierba, macro, flor",https://pixnio.com/es/plantas/flores/flores-silvestres/naturaleza-flor-flora-hoja-flores-silvestres-plantas-hierba-macro-flor,https://pixnio.com/free-images/2017/11/12/2017-11-12-12-45-31.jpg,True,hqfpiefcxlqe,"26/10/2021, 15:23:36"
39,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxSPVKbddSnMWscV_MH0zZPgFc7r_OIS1BsA&usqp=CAU,piqsels.com,libre de regalías Edelweiss fotos descarga gratuita | Piqsels,https://www.piqsels.com/es/search?q=Edelweiss,https://p2.piqsels.com/preview/746/968/905/edelweiss-flower-austria-thumbnail.jpg,True,jwnzihtgipgd,"26/10/2021, 15:23:37"
40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnfOFqMVJhQN1FepfAimheH5HYhSvJi3i5Rw&usqp=CAU,pixabay.com,Flores Edelweiss Pétalos Sale - Foto gratis en Pixabay,https://pixabay.com/es/photos/flores-edelweiss-p%C3%A9talos-sale-de-5550031/,https://cdn.pixabay.com/photo/2020/09/06/20/20/flowers-5550031_1280.jpg,True,dqbnzhrfqecf,"26/10/2021, 15:23:37"
41,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7Az4WySpZXpqkjTgjIawbAMFQb3vEBPup0A&usqp=CAU,pxhere.com,"Fotos gratis : naturaleza, blanco, mullido, botánica, cerca, flora, flor  silvestre, gris, arbusto, Fotografía macro, raramente, Edelweiss, jazmín,  planta floreciendo, Familia de la margarita, Flor alpina, Korbl tler,  Leontopodium microdochium, Planta de",https://pxhere.com/es/photo/567933,https://get.pxhere.com/photo/nature-blossom-plant-white-flower-fluffy-botany-close-flora-wildflower-grey-shrub-macro-photography-rarely-edelweiss-jasmine-flowering-plant-daisy-family-alpine-flower-korbl-tler-leontopodium-microdochium-land-plant-567933.jpg,True,zubnndootpvf,"26/10/2021, 15:23:37"
42,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZ83cYsXlC4LxXnfn503zyHBMps5p2-CHgXg&usqp=CAU,pxfuel.com,"Edelweiss, plantas, flores, conservación de la naturaleza., planta, color  blanco, crecimiento, belleza en la naturaleza, primer plano, naturaleza |  Pxfuel",https://www.pxfuel.com/es/free-photo-xexch,https://p1.pxfuel.com/preview/650/310/419/edelweiss-plant-flowers-nature-conservation.jpg,True,vqbbqcwjpzzr,"26/10/2021, 15:23:57"
43,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsW2mQQzXhbzacGr7VnRDPNbeElmmai6naLw&usqp=CAU,commons.wikimedia.org,File:Edelweiss - Leontopodium nivale (21211377525).jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Edelweiss_-_Leontopodium_nivale_%2821211377525%29.jpg,https://upload.wikimedia.org/wikipedia/commons/4/44/Edelweiss_-_Leontopodium_nivale_%2821211377525%29.jpg,True,vjubybroubxv,"26/10/2021, 15:23:57"
44,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHxtQqebO3pANTnMFd3kuICZHl-JPYluDtXw&usqp=CAU,pixnio.com,"Imagen gratis: Prado, flor blanca, pétalos, planta, primavera, hoja, hierba",https://pixnio.com/es/plantas/flores/flores-silvestres/prado-flor-blanca-petalos-planta-primavera-hoja-hierba,https://pixnio.com/free-images/2018/07/19/2018-07-19-17-27-34.jpg,True,jvfxmvzmnpme,"26/10/2021, 15:23:57"
45,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVNOPs85PttkENh3AOh0CZv2P7NPpd2zhQGw&usqp=CAU,pxhere.com,"Fotos gratis : Produce, botánica, cerca, flora, flor silvestre, arbusto,  Fotografía macro, Edelweiss, planta floreciendo, Flor alpina, Edelwei  alpino, Planta de tierra 4608x3456 - - 645733 - Imagenes gratis - PxHere",https://pxhere.com/es/photo/645733,https://get.pxhere.com/photo/blossom-plant-flower-produce-botany-close-flora-wildflower-shrub-macro-photography-edelweiss-flowering-plant-alpine-flower-alpine-edelwei-land-plant-645733.jpg,True,gukcdfwikffd,"26/10/2021, 15:23:58"
46,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRx6i2VM19sn0Mm7wmE3I5AEtfPsPrtZgFt4g&usqp=CAU,pixabay.com,100+ bezplatné Edelweiss a Protěž fotografie - Pixabay,https://pixabay.com/cs/photos/search/edelweiss/,https://cdn.pixabay.com/photo/2010/12/14/17/30/edelweiss-3296__340.jpg,True,ynrhylhkpcos,"26/10/2021, 15:24:18"
47,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRibmfskaIo8nOoO7SRdCZvbrYhaUbhsrfaDg&usqp=CAU,pxfuel.com,"flor, edelweiss, planta, naturaleza, tatry, blanco, planta floreciendo,  fragilidad, vulnerabilidad, belleza en la naturaleza | Pxfuel",https://www.pxfuel.com/es/free-photo-ovatq,https://p1.pxfuel.com/preview/882/95/634/flower-edelweiss-plant-nature.jpg,True,cpyiqxbctgfs,"26/10/2021, 15:24:18"
48,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiJ_-ALyRgCEc6ubAGDngZRMafLPF-mz9i6w&usqp=CAU,commons.wikimedia.org,File:Leontopodium nivale-DS.jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Leontopodium_nivale-DS.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Leontopodium_nivale-DS.jpg,True,htqdfqeyvjjk,"26/10/2021, 15:24:19"
49,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPjzsJ0sGD9h1tQ7z21n87TLg_h0jUeM5A5g&usqp=CAU,piqsels.com,libre de regalías davos fotos descarga gratuita | Piqsels,https://www.piqsels.com/es/search?q=davos,https://p0.piqsels.com/preview/409/221/131/switzerland-davos-flower-flowers-thumbnail.jpg,True,zvmxmhwqzrbq,"26/10/2021, 15:24:19"
