position,thumbnail,source,title,link,original,filename,time
1,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d322b99bcc011b989573219a1e81ded82f1a317a7e764aff5d5.jpeg,flickr.com,Margeriten | Roland Lang | Flickr,https://www.flickr.com/photos/138420034@N02/28087491428,https://live.staticflickr.com/973/28087491428_e0a2611da2_b.jpg,ufnavuenhchl,"26/10/2021, 14:50:08"
2,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32d3f32bda7c09e41b73eee5f2e200037259f0b0994fa90920.jpeg,commons.wikimedia.org,"File:Margeriten, Eschenhahn.jpg - Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Margeriten,_Eschenhahn.jpg",https://upload.wikimedia.org/wikipedia/commons/d/d6/Margeriten%2C_Eschenhahn.jpg,pcqxskzemwfo,"26/10/2021, 14:50:08"
3,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d326d031e434839324ed1d5ca90f9ec0f48d2abb0cc24097881.jpeg,commons.wikimedia.org,File:Margeriten Bärnzell.JPG - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Margeriten_B%C3%A4rnzell.JPG,https://upload.wikimedia.org/wikipedia/commons/1/13/Margeriten_B%C3%A4rnzell.JPG,cedqeargofvm,"26/10/2021, 14:50:09"
4,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d3221f3f0b8978803cb4afbc34d1dd27eda18bc80aa9311e705.jpeg,flickr.com,Margeriten | Nikon D700 + Tokina AT-X 90/2.5 Macro | Enzio Harpaintner |  Flickr,https://www.flickr.com/photos/101630104@N02/41503806164,https://live.staticflickr.com/903/41503806164_07fed87799_b.jpg,wcqsmwnahesk,"26/10/2021, 14:50:09"
5,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32955b05a011b8620cd082d9d1ecd571cfca7b02f64af65a0d.jpeg,commons.wikimedia.org,File:Magerwiesen-Margeriten Kißlegg Mai 2012.JPG - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Magerwiesen-Margeriten_Ki%C3%9Flegg_Mai_2012.JPG,https://upload.wikimedia.org/wikipedia/commons/0/0e/Magerwiesen-Margeriten_Ki%C3%9Flegg_Mai_2012.JPG,eobbnhhtkxoa,"26/10/2021, 14:50:10"
6,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d327d9779207a37ec5d2a24ebcaa59fa39ef01a4fabc17dc02a.jpeg,flickr.com,Margeriten | Sunset Daisies | Michael Mueller | Flickr,https://www.flickr.com/photos/104342908@N08/47946609262,https://live.staticflickr.com/65535/47946609262_082f8ebeaa_b.jpg,mrjbcquqoqiq,"26/10/2021, 14:50:11"
7,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d329607a183e7fc8924be1ec6d23390979262720e1487dd49e6.jpeg,commons.wikimedia.org,File:Phototrophismus der Margeriten in Mondnacht nahe Friedelhausen  2015-06-02.jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Phototrophismus_der_Margeriten_in_Mondnacht_nahe_Friedelhausen_2015-06-02.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/Phototrophismus_der_Margeriten_in_Mondnacht_nahe_Friedelhausen_2015-06-02.jpg,qnoobtcmdkjh,"26/10/2021, 14:50:11"
8,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d323ba9dfa91c2401336c8d792600fc16ff0ed4d4d9a0b9a409.jpeg,pixabay.com,Flower Daisies Bornholmer - Free photo on Pixabay,https://pixabay.com/photos/flowers-daisies-5046447/,https://cdn.pixabay.com/photo/2020/04/15/12/23/flowers-5046447_1280.jpg,xjrsuodlzfll,"26/10/2021, 14:50:12"
9,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32675690af170521fb5261243128326f3996848d064c86f4b8.jpeg,flickr.com,Margeriten | Philipp Zieger | Flickr,https://www.flickr.com/photos/philippzieger/9238956701/,https://live.staticflickr.com/7297/9238956701_02d426c3df_b.jpg,spachirusblp,"26/10/2021, 14:50:13"
10,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d320c168ec37533f4913707735c7d56143c2d55b63a9e8a104a.jpeg,commons.wikimedia.org,"File:Magerwiesen Margerite, Leucanthemum vulgare 2.JPG - Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Magerwiesen_Margerite,_Leucanthemum_vulgare_2.JPG",https://upload.wikimedia.org/wikipedia/commons/e/e1/Magerwiesen_Margerite%2C_Leucanthemum_vulgare_2.JPG,owhnhsaxhwxv,"26/10/2021, 14:50:13"
